upstream/issue-7450\t1cd3b9eb6671c52355964df973eae5f7251ad875\t2025-12-01 23:22:14 +0800
upstream/libnettle\t99f4a9fa13d84bb1c929a1f7b40e5930b7009218\t2026-02-06 21:25:51 +0800
upstream/licy183-patch-1\tea86bfdc9a7c21d3c73c400be72d94fd5bc5d3b1\t2026-08-06 22:16:32 +0800
upstream/licy183-patch-2\t284fec0ac47dc7b927a6d777c28883551f0c0121\t2026-08-06 22:18:04 +0800
upstream/llvm-22\tffd119927157550706e28d51050d44645d806f15\t2026-03-22 13:30:08 +0530
upstream/massaging-fix-count-files\tba674e47e3f357342df981c1b62bef3cea85cafa\t2024-11-02 11:52:22 +0800
upstream/master\te2d40fbf57c9fa7ca94570a407fe77eee9b877af\t2026-08-17 06:34:29 +0000
upstream/mesa-with-rtti\t32d361ce731d2cd3ac106b450bcb29b0578d1688\t2025-11-21 17:47:36 +0100
upstream/ndk-r29\tbbf2e035082b75d5ef2ecd78c7288c21d23e129b\t2025-10-16 09:50:26 +0530
upstream/netpbm\tacf8997d6f29d04e05b0657e95d70dabc2931639\t2024-01-29 14:17:28 +0000
upstream/new-buildorder\t119bad4acfab499df33ae99a4fa6374299ccfafd\t2025-10-17 15:39:05 +0300
upstream/ninja-1.13.1\ta9fdd8c9e77b19749aeccef65dcbccbe90d43da4\t2025-11-18 19:05:56 +0100
upstream/no-miniupnpc-auto-update\tab2201cf7e5ad6f5206e0ba366e06c76e01c4fce\t2024-07-07 00:37:06 +0200
upstream/optimize-termux_download_deb_pac\t752d70588aca6f8905ac9142c48a0bc3e696f25f\t2025-05-04 14:41:49 +0300
upstream/parallelize-dependency-downloads\t08319ef4175b237a5f867a5b2b15dda2a7f1fef7\t2025-05-12 21:23:00 +0300
upstream/pwsh\tb263608e82f07a778a8d09b53f6a3c1871b58bea\t2024-05-25 22:14:19 +0800
upstream/python-cmake-src\tbaacfb4beca8afb714c84818097d2065c7f1a70f\t2026-03-10 19:01:49 +0100
upstream/python-torchaudio-test-build\tdeb44f28ba5b9f83096485de92174e6c9109414c\t2026-04-09 01:24:54 +0200
upstream/python313-fullrebuild\t47ad14f609bdd5397a06d5f235bc9460e4a1656a\t2026-02-25 22:01:55 +0530
upstream/redownload-metadata-if-corrupted\t8d1ac1fcd1deeb3c3b8a37f03c48a75d314958bf\t2025-05-11 14:33:59 +0300
upstream/remove-libsoup\t1a94b01a2e36df9952f5e9fe3cc81415bc56f589\t2026-03-17 00:09:53 +0100
upstream/repo-signing-keys\tfd7d763463e8925d2544aea72629f1861f43a171\t2024-11-19 07:58:47 +0500
upstream/rm-libsoldout\tc608815d03f867ec13c3a9b5506ec2ee89e269dc\t2026-04-16 13:26:50 +0200
upstream/run-docker.sh\tdec1f138aedc6f9b2ea79bb078decfcd9d416489\t2024-09-09 20:11:36 +0300
upstream/site\t281a98964104f2376e4f0101d88b8cf6939702c3\t2025-03-30 20:14:39 -0400
upstream/swift\tae70ec2a1cfc8c70f0c158c5717baf4172fe5577\t2025-12-09 19:25:41 +0530
upstream/termux-bootstrap-metapackage\t0a124b51254ec6901745b0df3742db804f633a2e\t2024-11-06 16:26:15 +0200
upstream/termux-wsi-layer\tb52d1dc2c33b2ee3993d07d433040e9c8e2fc68a\t2024-11-21 07:41:00 +0200
upstream/termux-wsi-layer2\t1ffb4513a9109d29e50f8ef86d8987d621576ca9\t2024-12-17 13:42:17 +0200
upstream/thunder-coding\t35c080a252282216dfe025afc9ec9c144fdec7fd\t2026-07-02 21:40:28 +0530
upstream/ubuntu-26.04\t5824e5ec0575dbb5a5efd6f6673eaad77dcc791f\t2026-06-25 12:07:06 +0530
upstream/update-kcptun\t3b4e2bd6cf1e7fc3860fdf9ae9853ffaf3aaafdb\t2025-11-15 12:02:28 +0530
upstream/utils/thunder-coding\t10fc67e8d71bf71a1c450aca8d3a2fc266a380c4\t2026-01-12 03:45:13 +0530
upstream/virglrenderer-direct-x-connection\tf4ba661d233541dd0fd2bfd329efd25237594446\t2024-11-25 23:09:06 +0200
upstream/wine-devel\t14fb540d74d13df2379b4aa9b725e21f258358a1\t2025-02-10 00:18:39 +0800
upstream/wine-staging\t6d14c7d69f14153c1d954f0edddd3063aad6391c\t2025-02-10 00:21:03 +0800
upstream/wxwidgets-3.2.7.1\t82f30cd47d38b1a4f8f83c235cfd29f1c6567fd8\t2025-04-20 20:37:30 +0300
