repo	path	bytes	sha256	function_markers	doc_markers
DAX-FULL	target/debug/.fingerprint/cfg-if-bc6f99dd165977f0/lib-cfg_if.json	376	6a2766196b3b891ba0b111537c1b85c582a53e8f97b7d699b954d18e4cddcccc	0	0
DAX-FULL	target/debug/.fingerprint/zerocopy-ab57f35ddae792c1/lib-zerocopy.json	678	7d29ba61f8fc55e5265e826ef58389caa19afd5ac146bafa64e57a91ae64ac3b	0	0
DAX-FULL	target/debug/.fingerprint/zerocopy-14436938a153d854/run-build-script-build-script-build.json	342	434f5f1081e9f87d4ee9b6a74279d19dd16743d98822279c8f98826cb963d23e	0	0
DAX-FULL	target/debug/.fingerprint/zerocopy-ba94b449d4d77d30/build-script-build-script-build.json	562	d4d5c35f7c1f2c98f6adfc0b2721fbc6b03f2c0739bfdbde803eb9023d92615a	0	0
DAX-FULL	target/debug/.fingerprint/zerocopy-derive-5f3eeb35be61c3f7/lib-zerocopy_derive.json	537	c23b6773fd70cd1d1be3bdd287707d936989c6b2c1a29d76f73a1db5c122e9c1	0	0
DAX-FULL	target/debug/.fingerprint/proc-macro2-85b62857e554af6f/lib-proc_macro2.json	575	6804bd9900c15e1347aac50160c1910643d6b9c220ad9579f13b047c3e05d894	0	0
DAX-FULL	target/debug/.fingerprint/proc-macro2-19449fcd8ddca04a/run-build-script-build-script-build.json	485	3a48f68048ad50a9f3635f8ffc93f488ffb2ba8d738ab3d8c85972c2b5ea3fe8	0	0
DAX-FULL	target/debug/.fingerprint/proc-macro2-e8b85e895052fb77/build-script-build-script-build.json	459	ce111762aada9e199452fbe6d3885eb517e24e92423d2c96adaa1d912cc5311b	0	0
DAX-FULL	target/debug/.fingerprint/unicode-ident-dd3f9de407043458/lib-unicode_ident.json	360	f33aff507e87b20eb33be27bbccd3596f7a2088dc32f27cba0543490fe4a993f	0	0
DAX-FULL	target/debug/.fingerprint/quote-b10ce572e9f915e6/lib-quote.json	529	6b914d6fde8ee182cedeb8b7063f0b82e06834c710028b168dee38d5bb143cb1	0	0
DAX-FULL	target/debug/.fingerprint/quote-d46b025b2301579b/run-build-script-build-script-build.json	326	2e5c2a4c1ed02f762c5b189704df2e57d48c6a96017dc3d71b2088e411ded029	0	0
DAX-FULL	target/debug/.fingerprint/quote-5fab45dcd2ae7856/build-script-build-script-build.json	419	432cfa7b40abcd20269cb04dd38a62ce25697fc9a83b2f4d9bb2cac472bce0e9	0	0
DAX-FULL	target/debug/.fingerprint/syn-526fc852c591b027/lib-syn.json	771	7ec5754835fb98d558198e112d91e6cb9e4f0f88af53d73d1c64864ddfd86d02	0	0
DAX-FULL	target/debug/.fingerprint/agents-c0d974526a8f6309/test-lib-agents.json	526	ba75c846427d88331dddea865bd3df5e6a102edf9551c113d19f42809f0d8c71	0	0
DAX-FULL	target/debug/.fingerprint/candletorch-b95c2ee266b47839/lib-candletorch.json	531	2c2756d53545c4e3398707c18d2cfb9a404feff5c50ed0985a142d8db9707d75	0	0
DAX-FULL	target/debug/.fingerprint/candletorch-ac99367a4d34fc39/test-lib-candletorch.json	535	311f68ef5dbabb304b297a97f607150b8b5def0bea956745454b85f5e4157fcd	0	0
DAX-FULL	target/debug/.fingerprint/decks-c86921a5b593f2be/bin-decks.json	518	d6ce053913455a7f5d99f79d6887c914300dbed5c71f185d270d6ebdbce5668f	0	0
DAX-FULL	target/debug/.fingerprint/pollster-e659d2d9dd2a55e0/lib-pollster.json	378	6543766ba3ee968a6cdfd56a8b4998688ff227ea6e867efeeb599b4c840f17ea	0	0
DAX-FULL	target/debug/.fingerprint/wgpu-cfed661bc0773f73/lib-wgpu.json	1464	db5d3153d28fc9947299a281f82b7f37b6aa3b5495d26f24db2555ff2780062c	0	0
DAX-FULL	target/debug/.fingerprint/arrayvec-95933cb5ae45c1c9/lib-arrayvec.json	425	4ea8f8e3608086029bb0b02757ef4c61970faf42dc6a6a9c27be18a551dabd3e	0	0
DAX-FULL	target/debug/.fingerprint/document-features-e06e9967f6169a59/lib-document_features.json	461	ef1f4dd20c562649a2a727a5ee2d89746586b425f502741d0eb61a126fc67a53	0	0
DAX-FULL	target/debug/.fingerprint/litrs-2efeb2f798858524/lib-litrs.json	394	30781c4041e67ef551147e4ee39159b5940657d714ba35e9e7c77d57d47e2770	0	0
DAX-FULL	target/debug/.fingerprint/log-9addf9be90965803/lib-log.json	834	3840da8b7535453e4b28aff97dfee90ce99c8fcbcbf96017cfa6bc507e2410b5	0	0
DAX-FULL	target/debug/.fingerprint/parking_lot-5c1ac829ab231cec/lib-parking_lot.json	625	cf93ae4ae9bb2330a138c6cdc928be85a6f41f752c74f62e3cbf51a42bd1c809	0	0
DAX-FULL	target/debug/.fingerprint/lock_api-4337be56952e5e64/lib-lock_api.json	522	15a3061b492614b8cc1848760033289e669ef077ae8415eb8aadf32f87d4cdfb	0	0
DAX-FULL	target/debug/.fingerprint/scopeguard-b5b126953d4d1d57/lib-scopeguard.json	378	b62f250ff91c423e04fdf0ee7e092bc47889a129497086b674f9de7761f85f50	0	0
DAX-FULL	target/debug/.fingerprint/parking_lot_core-5d2d0039920077ca/lib-parking_lot_core.json	670	75efcb6e65c7cb516ec4510bc890bfa4f4234f38e5dd4b8752f6d558dd7221ef	0	0
DAX-FULL	target/debug/.fingerprint/libc-b07fc9abb53fe59d/lib-libc.json	565	d293d6bc9088b78f09acb98b30198bbaf4b02d10b33bdfd7fdfccf449ba72cae	0	0
DAX-FULL	target/debug/.fingerprint/libc-7ba5bd759dffc1ac/run-build-script-build-script-build.json	715	eec63dc7c8a725f3956846c9b1592dab33b49a103b86ce2564c6ef1a060f0532	0	0
DAX-FULL	target/debug/.fingerprint/libc-02f68ab13b95e754/build-script-build-script-build.json	519	0b497b387c75f70d8efd0346fbe15b5d6a7f108951163db76f7950bdb904bb28	0	0
DAX-FULL	target/debug/.fingerprint/parking_lot_core-28a0c970f772509d/run-build-script-build-script-build.json	336	3aa1eb847c6f7ac09ea9e3b3e6d1e92bc489ad6b09a359597393de5d03dbead2	0	0
DAX-FULL	target/debug/.fingerprint/parking_lot_core-25eead29c8491529/build-script-build-script-build.json	440	6042f5539481fc7ac035825f1f57f45abeac3cbb7e7a6bbbf342955bd470c407	0	0
DAX-FULL	target/debug/.fingerprint/smallvec-86308dcd6969a2cf/lib-smallvec.json	600	c907fa286c78d31a06da2da2e215d50fdb81d0bd2797c8f691cf4a0fc2140680	0	0
DAX-FULL	target/debug/.fingerprint/profiling-e0f0048b83a7575b/lib-profiling.json	630	ab7aef22d7f30be3198ccc2aecb7bbeb6847e4fe733f48d8cea1ca98edd71a62	0	0
DAX-FULL	target/debug/.fingerprint/raw-window-handle-c34b5927f11d5ee6/lib-raw_window_handle.json	444	dfca30f3c1d863fb4b330e4aba9c2c451dc723e2dee569faa2189d6b6d075d59	0	0
DAX-FULL	target/debug/.fingerprint/static_assertions-a79f0e781a073d79/lib-static_assertions.json	378	a99456d65cfdb35c89e5336f1e42b97f6334de0ba1cd9fef942dd73533f76682	0	0
DAX-FULL	target/debug/.fingerprint/wgpu-33a1ea256b28c79c/run-build-script-build-script-build.json	258	d85d4b9b800c32b856739cd94d5db8d990fe4409f1c451a85b66c78fd969e113	0	0
DAX-FULL	target/debug/.fingerprint/wgpu-684792d1821d5c91/build-script-build-script-build.json	753	d5b8aa8022dfbbe44bbc70bae7a087ca11b2b57f7446d0ed734789ffcb3be243	0	0
DAX-FULL	target/debug/.fingerprint/cfg_aliases-e97cb43292e631d7/lib-cfg_aliases.json	356	8ff9a1dcf4a17db6d4cd1072ceec39638c9c335651b1fd5f0a01e7bb76f6f6a1	0	0
DAX-FULL	target/debug/.fingerprint/wgpu-core-d6a25802a92a6f56/lib-wgpu_core.json	1824	07ee26d8364afb11d05dc9aadfd127afb8f34c30ffc0ac90861ef9f9d55eef56	0	0
DAX-FULL	target/debug/.fingerprint/bit-vec-8316a26e713d0fea/lib-bit_vec.json	433	bfdd885a7f9f816ae3b7cfa9f6d3a4f8bec3316931f816ddacdda17812fe15eb	0	0
DAX-FULL	target/debug/.fingerprint/bitflags-eeee633547e8a3f2/lib-bitflags.json	436	4d2d5b619eee125eb21a1e43929567447f4634ea42330790e29892912c95ff70	0	0
DAX-FULL	target/debug/.fingerprint/codespan-reporting-0c14da6a54329702/lib-codespan_reporting.json	540	b930bff4530843559b65441c9b943799575f758bd9d242936df3deb91ba068d9	0	0
DAX-FULL	target/debug/.fingerprint/termcolor-2a18c2a66199cdb2/lib-termcolor.json	349	05470eaad03c4dc1fdebecd45e8eb2eaf6e4718944657de4cf64cb7fe9b8af30	0	0
DAX-FULL	target/debug/.fingerprint/unicode-width-af59e454fd10a3ad/lib-unicode_width.json	477	8eaba80848a99cb1a93bdc900c103c361e258e2bfb2c6cea4731ad716d1fa353	0	0
DAX-FULL	target/debug/.fingerprint/indexmap-0ab14b5fb93d42ff/lib-indexmap.json	602	f58cf137c374d6e803ff3774349496c1c6a92936c072e82245d0e07369e46d54	0	0
DAX-FULL	target/debug/.fingerprint/equivalent-97b8dc1518151f17/lib-equivalent.json	353	93a6e503e5afce2cf16dd90e9bfae8dcc272879ec9355087857d50007d383c3b	0	0
DAX-FULL	target/debug/.fingerprint/hashbrown-cace6c091b1bfa30/lib-hashbrown.json	553	6ae21953351d20c5e867e2e25262b2d976b881dad45c181e321707a2e6a63d58	0	0
DAX-FULL	target/debug/.fingerprint/naga-1256fabeb19c45d5/lib-naga.json	1535	b61e344a6ab7d35a326b3aa252a3db50334bd3305dfff381a09e346200c093ef	0	0
DAX-FULL	target/debug/.fingerprint/bit-set-949cef8bfa9c719c/lib-bit_set.json	447	f68187cda06dfde25b5b96f33e136e261a07e3305d98528ed36fc01859d16ddb	0	0
